"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U8,U7";"S216S02";2;"S216S02F";;;
2;"U3";"photon";1;"PARTICLE_PHOTON";;;
3;"U4";"NRF24L01";1;"NRF24L01+_MOD";;;
4;"REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_2.5x4mm";6;"MountingHole_2.5x4mm";;;
5;"C1";"C_0805";1;"10nF";;;
6;"C2,C3";"C_0805_HandSoldering";2;"0.1uF";;;
7;"D1,D2";"LED_0805";2;"LED_GREEN";;;
8;"F1";"Fuseholder5x20_horiz_open_inline_Type-I";1;"FUSE";;;
9;"J1";"SJ-43514-SMT";1;"SJ-43514-SMT";;;
10;"J2";"Molex_UltraFit-1722861103_3x3.50mm_Straight";1;"CONN_01X03";;;
11;"J3";"Molex_UltraFit-1722861102_2x3.50mm_Straight";1;"CONN_01X02";;;
12;"LOGO1";"OSHW-Symbol_6.7x6mm_SilkScreen";1;"OPEN_HARDWARE_2";;;
13;"PWRSPLY1";"PowerSupply";1;"SUPPLY";;;
14;"R1,R2";"R_0805_HandSoldering";2;"100K";;;
15;"R3,R4,R5";"R_0805_HandSoldering";3;"330";;;
16;"SW1";"JST_PH_B4B-PH-K_04x2.00mm_Straight";1;"SW_Push_LED";;;
17;"SW2";"SW_Tactile_SPST_Angled";1;"1-1825027-1";;;
18;"U1,U2";"SOT-23-5";2;"74AUC1G66";;;
19;"U5,U6";"SOT-23";2;"A1324";;;
20;"W1";"Measurement_Point_Round-TH_Small";1;"LINE";;;
21;"W2";"Measurement_Point_Round-TH_Small";1;"NEUTRAL";;;
22;"W3";"Measurement_Point_Round-TH_Small";1;"D5";;;
23;"W4";"Measurement_Point_Round-SMD-Pad_Small";1;"CRNT1";;;
24;"W5";"Measurement_Point_Round-SMD-Pad_Small";1;"CRNT2";;;
25;"R6,R7,R8,R9,R10,R11,R12";"R_0805_HandSoldering";7;"10K";;;
